condition,round,semdis,id
control,2,1.07444,ego_ctrl_168
control,2,1.0399,ego_ctrl_169
control,2,1.08153,ego_ctrl_170
control,2,1.0015,ego_ctrl_171
control,2,0.93174,ego_ctrl_172
control,2,1.0817,ego_ctrl_173
control,2,1.19999,ego_ctrl_174
control,2,1.06775,ego_ctrl_175
control,2,1.13787,ego_ctrl_176
control,2,0.93434,ego_ctrl_177
control,2,0.97789,ego_ctrl_178
control,2,1.04775,ego_ctrl_179
control,2,1.00124,ego_ctrl_180
treatment,2,1.07885,ego_trt_1
treatment,2,1.05715,ego_trt_2
treatment,2,1.04299,ego_trt_3
treatment,2,0.99585,ego_trt_4
treatment,2,0.95317,ego_trt_5
treatment,2,1.05658,ego_trt_6
treatment,2,1.05288,ego_trt_7
treatment,2,1.04055,ego_trt_8
treatment,2,1.12336,ego_trt_9
treatment,2,1.07283,ego_trt_10
treatment,2,1.08288,ego_trt_11
treatment,2,1.0377,ego_trt_12
treatment,2,1.04939,ego_trt_13
treatment,2,1.08045,ego_trt_14
treatment,2,1.09313,ego_trt_15
treatment,2,0.99599,ego_trt_16
treatment,2,1.03304,ego_trt_17
treatment,2,1.04939,ego_trt_18
treatment,2,1.10592,ego_trt_19
treatment,2,1.10592,ego_trt_20
treatment,2,1.02321,ego_trt_21
treatment,2,1.00052,ego_trt_22
treatment,2,0.99272,ego_trt_23
treatment,2,0.9755,ego_trt_24
treatment,2,1.0698,ego_trt_25
treatment,2,1.01881,ego_trt_26
treatment,2,1.10272,ego_trt_27
treatment,2,1.04649,ego_trt_28
treatment,2,1.05202,ego_trt_29
treatment,2,1.02154,ego_trt_30
treatment,2,1.09802,ego_trt_31
treatment,2,1.0009,ego_trt_32
treatment,2,1.08495,ego_trt_33
treatment,2,0.99118,ego_trt_34
treatment,2,1.02651,ego_trt_35
treatment,2,1.10509,ego_trt_36
treatment,2,1.05412,ego_trt_37
treatment,2,1.09464,ego_trt_38
treatment,2,0.97599,ego_trt_39
treatment,2,1.04378,ego_trt_40
treatment,2,1.09491,ego_trt_41
treatment,2,1.02988,ego_trt_42
treatment,2,0.96191,ego_trt_43
treatment,2,1.05405,ego_trt_44
treatment,2,1.02124,ego_trt_45
treatment,2,1.05634,ego_trt_46
treatment,2,0.99343,ego_trt_47
treatment,2,1.05426,ego_trt_48
treatment,2,0.97844,ego_trt_49
treatment,2,1.0285,ego_trt_50
treatment,2,0.9658,ego_trt_51
treatment,2,1.03373,ego_trt_52
treatment,2,1.16379,ego_trt_53
treatment,2,1.09236,ego_trt_54
treatment,2,1.00514,ego_trt_55
treatment,2,1.0154,ego_trt_56
treatment,2,1.10032,ego_trt_57
treatment,2,0.99066,ego_trt_58
treatment,2,1.09802,ego_trt_59
treatment,2,1.02118,ego_trt_60
treatment,2,0.98753,ego_trt_61
