condition,networksize,gini
control,13,0.2923076923076923
control,14,0.2714285714285714
control,15,0.26666666666666666
control,16,0.3645833333333333
control,17,0.38235294117647056
control,18,0.35185185185185186
control,1,0
control,2,0.16666666666666666
control,3,0.16666666666666666
control,4,0.25
control,5,0.32
control,6,0.3333333333333333
control,7,0.37142857142857144
control,8,0.375
control,9,0.35555555555555557
control,10,0.38
control,11,0.39999999999999997
control,12,0.36666666666666664
control,13,0.3230769230769231
control,14,0.34285714285714286
control,15,0.3466666666666667
control,16,0.40625
control,17,0.4215686274509804
control,18,0.39814814814814814
control,1,0
control,2,0.16666666666666666
control,3,0.13333333333333333
control,4,0.25
control,5,0.28
control,6,0.3333333333333333
control,7,0.34285714285714286
control,8,0.375
control,9,0.37037037037037035
control,10,0.38333333333333336
control,11,0.4090909090909091
control,12,0.3888888888888889
control,13,0.3974358974358974
control,14,0.39285714285714285
control,15,0.4
control,16,0.375
control,17,0.38235294117647056
control,18,0.3333333333333333
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.25
control,6,0.3333333333333333
control,7,0.37142857142857144
control,8,0.4
control,9,0.3888888888888889
control,10,0.4
control,11,0.4090909090909091
control,12,0.375
control,13,0.3974358974358974
control,14,0.4166666666666667
control,15,0.43333333333333335
control,16,0.40625
control,17,0.4117647058823529
control,18,0.3611111111111111
control,1,0
control,2,0
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.16666666666666666
control,7,0.17142857142857143
control,8,0.2708333333333333
control,9,0.3148148148148148
control,10,0.3333333333333333
control,11,0.36363636363636365
control,12,0.3888888888888889
control,13,0.358974359
control,14,0.32142857142857145
control,15,0.34444444444444444
control,16,0.3645833333333333
control,17,0.38235294117647056
control,18,0.37037037037037035
control,1,0
control,2,0
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.16666666666666666
control,7,0.17142857142857143
control,8,0.2708333333333333
control,9,0.25925925925925924
control,10,0.23333333333333334
control,11,0.2727272727272727
control,12,0.3055555555555556
control,13,0.28205128205128205
control,14,0.2857142857142857
control,15,0.3111111111111111
control,16,0.3229166666666667
control,17,0.3431372549019608
control,18,0.3611111111111111
control,1,0
control,2,0
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.23333333333333334
control,7,0.14285714285714285
control,8,0.22916666666666666
control,9,0.25925925925925924
control,10,0.26666666666666666
control,11,0.30303030303030304
control,12,0.3333333333333333
control,13,0.2948717948717949
control,14,0.2857142857142857
control,15,0.3111111111111111
control,16,0.3020833333333333
control,17,0.3235294117647059
control,18,0.3425925925925926
control,1,0
control,2,0
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.16666666666666666
control,7,0.14285714285714285
control,8,0.25
control,9,0.2962962962962963
control,10,0.3333333333333333
control,11,0.3181818181818182
control,12,0.3194444444444444
control,13,0.2948717948717949
control,14,0.27380952380952384
control,15,0.3
control,16,0.3125
control,17,0.3333333333333333
control,18,0.35185185185185186
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.15
control,5,0.16
control,6,0.23333333333333334
control,7,0.2
control,8,0.25
control,9,0.25925925925925924
control,10,0.26666666666666666
control,11,0.30303030303030304
control,12,0.3055555555555556
control,13,0.28205128205128205
control,14,0.30952380952380953
control,15,0.3333333333333333
control,16,0.2916666666666667
control,17,0.3137254901960784
control,18,0.3333333333333333
control,1,0
control,2,0
control,3,0
control,4,0.25
control,5,0.32
control,6,0.3333333333333333
control,7,0.34285714285714286
control,8,0.375
control,9,0.4
control,10,0.42
control,11,0.4363636363636363
control,12,0.45
control,13,0.47435897435897434
control,14,0.4642857142857143
control,15,0.4111111111111111
control,16,0.375
control,17,0.39215686274509803
control,18,0.3888888888888889
control,1,0
control,2,0.16666666666666666
control,3,0.2222222222222222
control,4,0.25
control,5,0.25
control,6,0.25
control,7,0.2857142857142857
control,8,0.25
control,9,0.2222222222222222
control,10,0.25
control,11,0.2727272727272727
control,12,0.38333333333333336
control,13,0.4230769230769231
control,14,0.39285714285714285
control,15,0.35555555555555557
control,16,0.375
control,17,0.39215686274509803
control,18,0.39814814814814814
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.28
control,6,0.3333333333333333
control,7,0.37142857142857144
control,8,0.3541666666666667
control,9,0.37037037037037035
control,10,0.4
control,11,0.42424242424242425
control,12,0.4444444444444444
control,13,0.4358974358974359
control,14,0.42857142857142855
control,15,0.3888888888888889
control,16,0.40625
control,17,0.4215686274509804
control,18,0.4074074074074074
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0
control,5,0.1
control,6,0.16666666666666666
control,7,0.2857142857142857
control,8,0.325
control,9,0.3888888888888889
control,10,0.4166666666666667
control,11,0.4393939393939394
control,12,0.4583333333333333
control,13,0.41025641025641024
control,14,0.42857142857142855
control,15,0.36666666666666664
control,16,0.3854166666666667
control,17,0.39215686274509803
control,18,0.37962962962962965
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.24
control,6,0.26666666666666666
control,7,0.30952380952380953
control,8,0.22916666666666666
control,9,0.24074074074074073
control,10,0.2833333333333333
control,11,0.3181818181818182
control,12,0.3472222222222222
control,13,0.32051282051282054
control,14,0.34523809523809523
control,15,0.3
control,16,0.3229166666666667
control,17,0.3431372549019608
control,18,0.3425925925925926
control,1,0
control,2,0.16666666666666666
control,3,0.25
control,4,0.25
control,5,0.28
control,6,0.3333333333333333
control,7,0.3142857142857143
control,8,0.375
control,9,0.3148148148148148
control,10,0.35
control,11,0.3787878787878788
control,12,0.3888888888888889
control,13,0.3974358974358974
control,14,0.4166666666666667
control,15,0.3888888888888889
control,16,0.40625
control,17,0.4117647058823529
control,18,0.42592592592592593
control,1,0
control,2,0.16666666666666666
control,3,0.25
control,4,0.25
control,5,0.28
control,6,0.26666666666666666
control,7,0.3142857142857143
control,8,0.325
control,9,0.3111111111111111
control,10,0.34
control,11,0.3636363636363636
control,12,0.36666666666666664
control,13,0.36923076923076925
control,14,0.38571428571428573
control,15,0.37333333333333335
control,16,0.35
control,17,0.35294117647058826
control,18,0.36666666666666664
control,1,0
control,2,0.16666666666666666
control,3,0.25
control,4,0.25
control,5,0.24
control,6,0.2222222222222222
control,7,0.21428571428571427
control,8,0.1875
control,9,0.2037037037037037
control,10,0.23333333333333334
control,11,0.2727272727272727
control,12,0.2777777777777778
control,13,0.28205128205128205
control,14,0.2976190476190476
control,15,0.2777777777777778
control,16,0.2708333333333333
control,17,0.28431372549019607
control,18,0.23148148148148148
control,1,0
control,2,0.16666666666666666
control,3,0.2222222222222222
control,4,0.25
control,5,0.28
control,6,0.3333333333333333
control,7,0.38095238095238093
control,8,0.4166666666666667
control,9,0.37037037037037035
control,10,0.35
control,11,0.3787878787878788
control,12,0.3194444444444444
control,13,0.32051282051282054
control,14,0.32142857142857145
control,15,0.28888888888888886
control,16,0.2604166666666667
control,17,0.27450980392156865
control,18,0.2777777777777778
control,1,0
control,2,0.16666666666666666
control,3,0.2222222222222222
control,4,0.25
control,5,0.25
control,6,0.25
control,7,0.3142857142857143
control,8,0.325
control,9,0.28888888888888886
control,10,0.26
control,11,0.2909090909090909
control,12,0.375
control,13,0.3717948717948718
control,14,0.36904761904761907
control,15,0.3888888888888889
control,16,0.375
control,17,0.39215686274509803
control,18,0.35185185185185186
control,1,0
control,2,0.16666666666666666
control,3,0.16666666666666666
control,4,0.1875
control,5,0.23333333333333334
control,6,0.1388888888888889
control,7,0.16666666666666666
control,8,0.22916666666666666
control,9,0.16666666666666666
control,10,0.21666666666666667
control,11,0.24242424242424243
control,12,0.2777777777777778
control,13,0.23076923076923078
control,14,0.25
control,15,0.2777777777777778
control,16,0.22916666666666666
control,17,0.23529411764705882
control,18,0.25925925925925924
control,1,0
control,2,0.16666666666666666
control,3,0.16666666666666666
control,4,0.25
control,5,0.26666666666666666
control,6,0.2222222222222222
control,7,0.16666666666666666
control,8,0.22916666666666666
control,9,0.24074074074074073
control,10,0.2833333333333333
control,11,0.25757575757575757
control,12,0.2916666666666667
control,13,0.21794871794871795
control,14,0.23809523809523808
control,15,0.26666666666666666
control,16,0.22916666666666666
control,17,0.2549019607843137
control,18,0.2777777777777778
control,1,0
control,2,0
control,3,0.2222222222222222
control,4,0.25
control,5,0.35
control,6,0.3333333333333333
control,7,0.35714285714285715
control,8,0.3958333333333333
control,9,0.3888888888888889
control,10,0.4166666666666667
control,11,0.36363636363636365
control,12,0.3888888888888889
control,13,0.32051282051282054
control,14,0.2857142857142857
control,15,0.3111111111111111
control,16,0.2916666666666667
control,17,0.3137254901960784
control,18,0.3333333333333333
control,1,0
control,2,0
control,3,0.2222222222222222
control,4,0.25
control,5,0.35
control,6,0.3333333333333333
control,7,0.37142857142857144
control,8,0.4
control,9,0.37777777777777777
control,10,0.4
control,11,0.3272727272727272
control,12,0.3333333333333333
control,13,0.3717948717948718
control,14,0.32142857142857145
control,15,0.3333333333333333
control,16,0.2916666666666667
control,17,0.3137254901960784
control,18,0.3333333333333333
control,1,0
control,2,0
control,3,0.2222222222222222
control,4,0.25
control,5,0.3
control,6,0.36666666666666664
control,7,0.35714285714285715
control,8,0.3958333333333333
control,9,0.37037037037037035
control,10,0.38333333333333336
control,11,0.3484848484848485
control,12,0.3611111111111111
control,13,0.28205128205128205
control,14,0.23809523809523808
control,15,0.24444444444444444
control,16,0.20833333333333334
control,17,0.23529411764705882
control,18,0.24074074074074073
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.28
control,6,0.3333333333333333
control,7,0.34285714285714286
control,8,0.3
control,9,0.3111111111111111
control,10,0.34
control,11,0.3272727272727272
control,12,0.31666666666666665
control,13,0.3076923076923077
control,14,0.32857142857142857
control,15,0.26666666666666666
control,16,0.3229166666666667
control,17,0.3333333333333333
control,18,0.3425925925925926
control,1,0
control,2,0.16666666666666666
control,3,0.16666666666666666
control,4,0.15
control,5,0.16
control,6,0.23333333333333334
control,7,0.2571428571428571
control,8,0.225
control,9,0.2777777777777778
control,10,0.18333333333333332
control,11,0.19696969696969696
control,12,0.2361111111111111
control,13,0.2692307692307692
control,14,0.2261904761904762
control,15,0.17777777777777778
control,16,0.125
control,17,0.14705882352941177
control,18,0.17592592592592593
control,1,0
control,2,0.16666666666666666
control,3,0.13333333333333333
control,4,0.15
control,5,0.16
control,6,0.23333333333333334
control,7,0.22857142857142856
control,8,0.15
control,9,0.25925925925925924
control,10,0.18333333333333332
control,11,0.22727272727272727
control,12,0.2638888888888889
control,13,0.2692307692307692
control,14,0.2976190476190476
control,15,0.25555555555555554
control,16,0.20833333333333334
control,17,0.22549019607843138
control,18,0.25
control,1,0
control,2,0.16666666666666666
control,3,0.13333333333333333
control,4,0.15
control,5,0.24
control,6,0.3
control,7,0.2857142857142857
control,8,0.25
control,9,0.3148148148148148
control,10,0.3333333333333333
control,11,0.3181818181818182
control,12,0.3472222222222222
control,13,0.358974359
control,14,0.30952380952380953
control,15,0.26666666666666666
control,16,0.20833333333333334
control,17,0.22549019607843138
control,18,0.24074074074074073
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.24
control,6,0.23333333333333334
control,7,0.2857142857142857
control,8,0.25
control,9,0.2962962962962963
control,10,0.3333333333333333
control,11,0.3333333333333333
control,12,0.3472222222222222
control,13,0.34615384615384615
control,14,0.2976190476190476
control,15,0.25555555555555554
control,16,0.20833333333333334
control,17,0.23529411764705882
control,18,0.25925925925925924
control,1,0
control,2,0
control,3,0.13333333333333333
control,4,0.15
control,5,0.23333333333333334
control,6,0.2222222222222222
control,7,0.2619047619047619
control,8,0.3125
control,9,0.35185185185185186
control,10,0.35
control,11,0.3787878787878788
control,12,0.4027777777777778
control,13,0.4230769230769231
control,14,0.40476190476190477
control,15,0.4
control,16,0.4166666666666667
control,17,0.4215686274509804
control,18,0.4351851851851852
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.24
control,6,0.23333333333333334
control,7,0.2571428571428571
control,8,0.3
control,9,0.3333333333333333
control,10,0.32
control,11,0.3454545454545454
control,12,0.36666666666666664
control,13,0.38461538461538464
control,14,0.4523809523809524
control,15,0.43333333333333335
control,16,0.4479166666666667
control,17,0.43137254901960786
control,18,0.4444444444444444
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.23333333333333334
control,6,0.25
control,7,0.30952380952380953
control,8,0.3541666666666667
control,9,0.3888888888888889
control,10,0.35
control,11,0.3787878787878788
control,12,0.3888888888888889
control,13,0.41025641025641024
control,14,0.38095238095238093
control,15,0.37777777777777777
control,16,0.3958333333333333
control,17,0.39215686274509803
control,18,0.4074074074074074
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.23333333333333334
control,6,0.25
control,7,0.30952380952380953
control,8,0.3541666666666667
control,9,0.3888888888888889
control,10,0.38333333333333336
control,11,0.4090909090909091
control,12,0.4166666666666667
control,13,0.4358974358974359
control,14,0.4166666666666667
control,15,0.3888888888888889
control,16,0.40625
control,17,0.4019607843137255
control,18,0.39814814814814814
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.25
control,5,0.24
control,6,0.3055555555555556
control,7,0.35714285714285715
control,8,0.3958333333333333
control,9,0.42592592592592593
control,10,0.4166666666666667
control,11,0.42424242424242425
control,12,0.4305555555555556
control,13,0.44871794871794873
control,14,0.44047619047619047
control,15,0.4444444444444444
control,16,0.4583333333333333
control,17,0.43137254901960786
control,18,0.42592592592592593
control,1,0
control,2,0.16666666666666666
control,3,0.25
control,4,0.25
control,5,0.24
control,6,0.26666666666666666
control,7,0.3333333333333333
control,8,0.375
control,9,0.3888888888888889
control,10,0.31666666666666665
control,11,0.30303030303030304
control,12,0.2638888888888889
control,13,0.21794871794871795
control,14,0.25
control,15,0.2777777777777778
control,16,0.2916666666666667
control,17,0.29411764705882354
control,18,0.2777777777777778
control,1,0
